Patients,Ranks_Top_60
P_NCT02872025,6
P_NCT03048942,5
P_NCT02448420,1
P_NCT03740893,14
P_NCT03315364,5
P_NCT03428802,9
P_NCT02583828,22
P_NCT02344472,46
P_NCT02187991,0
P_NCT01785420,0
P_NCT03324425,35
P_NCT03546686,46
P_NCT03025035,0
P_NCT02095184,0
P_NCT02760030,1
P_NCT03500380,6
P_NCT03515798,5
P_NCT03272334,57
P_NCT02977468,0
P_NCT02627248,8
P_NCT03747120,0
P_NCT02926690,0
P_NCT02716116,2
P_NCT01817452,0
P_NCT03596073,10
P_NCT02965950,1
P_NCT02632448,13
P_NCT02615457,1
P_NCT03090165,15
P_NCT03685331,0
