,Top10,Top20,Top30,Top40,Top50,Top60,Top70,Top80,Top90,Top100
P_NCT02872025,3,2,4,4,5,6,3,4,3,4
P_NCT03048942,0,0,0,5,7,5,6,6,3,5
P_NCT02448420,8,0,0,12,1,1,1,1,1,1
P_NCT03740893,0,0,10,14,13,14,1,1,1,1
P_NCT03315364,1,2,2,2,3,5,5,5,5,6
P_NCT03428802,0,0,0,39,6,9,10,9,11,11
P_NCT02583828,0,15,22,27,22,22,27,30,39,22
P_NCT02344472,0,0,0,0,0,46,44,53,66,59
P_NCT02187991,0,0,0,0,0,0,0,0,0,0
P_NCT01785420,0,0,0,0,0,0,0,0,0,0
P_NCT03324425,0,10,14,25,28,35,43,21,27,28
P_NCT03546686,0,0,0,0,44,46,11,14,18,18
P_NCT03025035,0,0,0,0,0,0,0,0,0,0
P_NCT02095184,0,0,0,0,0,0,0,0,0,0
P_NCT02760030,4,8,5,7,8,1,1,1,1,1
P_NCT03500380,8,10,2,7,6,6,6,9,5,5
P_NCT03515798,2,2,3,3,4,5,4,2,3,2
P_NCT03272334,0,0,0,32,46,57,58,53,45,37
P_NCT02977468,0,0,0,0,0,0,0,0,0,0
P_NCT02627248,0,0,18,10,5,8,13,6,8,9
P_NCT03747120,0,0,0,0,0,0,0,0,0,0
P_NCT02926690,0,0,0,0,0,0,0,0,0,0
P_NCT02716116,0,13,12,6,5,2,2,2,2,2
P_NCT01817452,0,0,0,0,0,0,68,80,0,95
P_NCT03596073,1,2,5,5,8,10,7,8,10,13
P_NCT02965950,1,1,1,1,1,1,1,1,1,1
P_NCT02632448,0,0,0,17,11,13,15,14,14,12
P_NCT02615457,3,1,1,1,1,1,1,1,1,1
P_NCT03090165,7,10,14,22,25,15,15,2,1,1
P_NCT03685331,0,0,0,0,0,0,12,14,14,15
